Train loss,Validation loss,,test crop version,,,Average IoU Score: 0.7540
0.450022774,0.301815131,,,,,Average F1 Score: 0.8597
0.310901032,0.258464846,,,,,Average Accuracy: 0.9537
0.252283582,0.220569888,,,,,Average Precision: 0.8720
0.229263776,0.2019644,,,,,Average Recall: 0.8478
0.200587111,0.203630047,,,,,
0.192619541,0.222723052,,test non crop,,,Average IoU Score: 0.7299
0.186350873,0.307384533,,,,,Average F1 Score: 0.8439
0.165743571,0.197398874,,,,,Average Accuracy: 0.9850
0.152463721,0.197845267,,,,,Average Precision: 0.8558
0.155525161,0.168755874,,,,,Average Recall: 0.8323
0.149128458,0.167051304,,,,,
0.144236378,0.25958806,,,,,
0.14602393,0.187822696,,,,,
0.130915131,0.247598652,,,,,
0.12735162,0.15441815,,,,,
0.125818232,0.236847447,,,,,
0.129385794,0.15229018,,,,,
0.124947385,0.178231989,,,,,
0.122559687,0.226209814,,,,,
0.119353723,0.180580084,,,,,
0.114270274,0.19268774,,,,,
0.112773804,0.217883036,,,,,
0.116690257,0.322606535,,,,,
0.116677125,0.213019116,,,,,
0.107362532,0.198550942,,,,,
0.126396723,0.20211577,,,,,
0.114134721,0.20499847,,,,,
0.1207563,0.191816791,,,,,
0.108064215,0.278964104,,,,,
0.103372618,0.239282444,,,,,
0.101743374,0.247189835,,,,,
0.100037818,0.215630947,,,,,
0.097481772,0.201424061,,,,,
0.098879801,0.239373025,,,,,
0.09647252,0.221534364,,,,,
0.093369926,0.213648433,,,,,
0.092310004,0.425462855,,,,,
0.093172236,0.227471582,,,,,
0.09187457,0.25047398,,,,,
0.090784483,0.2177241,,,,,
0.089733573,0.223572725,,,,,
0.091229014,0.364114848,,,,,
0.092407836,0.253692385,,,,,
0.088698768,0.284486415,,,,,
0.111751139,0.211138079,,,,,
0.156254026,0.338505108,,,,,
0.127005449,0.17839198,,,,,
0.103755048,0.210023858,,,,,
0.097988312,0.235171916,,,,,
0.096888688,0.201354706,,,,,
0.091676642,0.214677886,,,,,
0.087748339,0.237587771,,,,,
0.08555194,0.249755963,,,,,
0.084268181,0.249232436,,,,,
0.084985772,0.205604084,,,,,
0.083563732,0.223969058,,,,,
0.083209869,0.21258305,,,,,
0.081197484,0.264868061,,,,,
0.080860446,0.207874723,,,,,
0.08348662,0.227015347,,,,,
0.081751576,0.22114576,,,,,
0.079586891,0.212090542,,,,,
0.079186143,0.200514768,,,,,
0.080489563,0.21433027,,,,,
0.078857237,0.208837127,,,,,
0.078777115,0.225714658,,,,,
0.079799328,0.250571084,,,,,
