Train loss,Validation loss,,crop,Test Loss: 0.2012
0.254746862,0.214540861,,,IoU Score: 0.7545
0.153181594,0.470361716,,,F1 Score: 0.8600
0.108670933,0.253737923,,,Accuracy: 0.9539
0.097150128,0.178108535,,,Precision: 0.8923
0.090032137,0.148792448,,,Recall: 0.8300
0.079650718,0.161353245,,,
0.066386129,0.185798104,,noncrop,Average IoU Score: 0.7368
0.080052025,0.160743163,,,Average F1 Score: 0.8485
0.066541141,0.137233693,,,Average Accuracy: 0.9856
0.056528648,0.155101976,,,Average Precision: 0.8753
0.053949148,0.21292547,,,Average Recall: 0.8233
0.06034595,0.159516232,,,
0.05186134,0.21483153,,,
0.045210826,0.161573622,,,
0.04219559,0.2109086,,,
0.04083027,0.162023557,,,
0.052946882,0.182715604,,,
0.054202618,0.198035123,,,
0.042702734,0.148911394,,,
0.037330434,0.175171805,,,
0.034043231,0.157109991,,,
0.032294615,0.165863288,,,
0.031743648,0.174240923,,,
0.029943583,0.174376999,,,
0.029341411,0.17359491,,,
0.029959589,0.149777838,,,
0.057946245,0.138621753,,,
0.033723057,0.173728835,,,
0.030017828,0.165483664,,,
0.028056898,0.167074999,,,
0.026956217,0.164886117,,,
0.025809735,0.171867907,,,
0.025235111,0.168071496,,,
0.027263283,0.18027677,,,
0.024672256,0.191879301,,,
0.024121947,0.177546611,,,
0.023904191,0.170000674,,,
0.02358025,0.170612354,,,
0.023383952,0.223368766,,,
0.023113151,0.202363641,,,
0.022670518,0.215734373,,,
0.022512853,0.190480096,,,
0.021753827,0.200402284,,,
0.021314949,0.211947261,,,
0.021041505,0.223934052,,,
0.02089187,0.183690258,,,
0.020758511,0.182771038,,,
0.020364446,0.196480832,,,
0.020274279,0.206819195,,,
0.020427035,0.202049383,,,
0.020079443,0.212412774,,,
0.019964938,0.212153251,,,
0.019753015,0.207745958,,,
0.019370657,0.20787406,,,
0.019605386,0.210176532,,,
0.019059796,0.223012059,,,
0.019658315,0.211614287,,,
0.019012821,0.241036069,,,
0.018852821,0.237837456,,,
