Train loss,Validation loss,,crop,Test Loss: 0.1142
0.206473225,0.133638708,,,IoU Score: 0.7408
0.084377419,0.131285705,,,F1 Score: 0.8511
0.060019163,0.083708421,,,Accuracy: 0.9744
0.049792725,0.106824128,,,Precision: 0.9063
0.045317677,0.09254674,,,Recall: 0.8022
0.039105028,0.111759689,,,
0.041063018,0.200390733,,non crop,Average IoU Score: 0.7482
0.036791982,0.09900138,,,Average F1 Score: 0.8560
0.032175915,0.108977372,,,Average Accuracy: 0.9862
0.027048164,0.125014144,,,Average Precision: 0.8709
0.025789272,0.129610998,,,Average Recall: 0.8416
0.024077167,0.119864165,,,
0.022865861,0.093416988,,,
0.022174464,0.154985218,,,
0.021146118,0.120642124,,,
0.019863864,0.096231147,,,
0.018384915,0.136328397,,,
0.017619886,0.142510836,,,
0.017288903,0.11045837,,,
0.016762693,0.139989463,,,
0.016426019,0.150040619,,,
0.01565261,0.109001481,,,
0.014994536,0.143420489,,,
0.014691648,0.172884639,,,
0.014458931,0.170236485,,,
0.01421428,0.168355614,,,
0.013867166,0.118425508,,,
0.013567229,0.126737539,,,
0.01335047,0.150734132,,,
0.013209076,0.183057483,,,
0.0130189,0.135658217,,,
0.012899555,0.154359228,,,
0.01273079,0.139911293,,,
