Train loss,Validation loss
0.3874078744394894,0.35554243976782474
0.2036089701129791,0.21709504262544216
0.1472266248282902,0.2002073713478499
0.11020019582726738,0.1570841338917879
0.10730860868399156,0.23748009088116565
0.08782974335758444,0.16213104745506177
0.07575404147971122,0.18656098308357677
0.07059253702428252,0.17361480464377174
0.07537261000211863,0.13766236677474808
0.061474172029903226,0.1500992133685421
0.057364831006224144,0.15952628024138643
0.06384910395080075,0.3214299316863097
0.09702812212912794,0.15774522946365843
0.06011853891021428,0.1279024838382611
0.050857730608254194,0.13981971420975503
0.06609775308260625,0.19737596105135577
0.08154401300664255,0.14493087932621296
0.052879165937715675,0.13925361675771586
0.04828284342678632,0.12230969775742519
0.04466629483522897,0.16359169959469
0.040968839507450394,0.13595637550190856
0.03874262185259299,0.14673420908033483
0.0383242298624812,0.14773880474895124
0.03652219207369708,0.14435384822354536
0.034794590176944744,0.14207347074012172
0.032125422621474546,0.13610174802337757
0.032983985913787935,0.1445668794705333
0.03074327525110009,0.14499283670395796
0.031023462342825485,0.1504986366553307
0.02967617933683217,0.14544064591578457
0.0290851945127236,0.14494234500026712
0.0278894913676668,0.15524805418546228
0.027004266197588993,0.16277207976735164
0.026443305086683144,0.151253506014161
0.025794831318730976,0.15860762659067404
0.025581159439674993,0.16600601644926688
0.02506214551587793,0.1658581887282448
0.025698368532214574,0.16299704621020022
0.02555949430673677,0.19484856181625218
